boom_OD_mm,boom_wall_mm,strut_OD_mm,strut_wall_mm,frame_mass_kg,lg_mass_kg,total_mass_kg,frame_RF,lg_RF,min_RF,frame_VM_MPa,lg_VM_MPa,feasible
200.0,15.00,80.0,12.0,404.091,29.757,433.848,1.1718,0.9252,0.9252,298.68,543.66,0
200.0,15.00,90.0,5.0,404.091,15.498,419.590,1.1718,0.6431,0.6431,298.68,782.19,0
200.0,15.00,90.0,6.0,404.091,18.379,422.471,1.1718,0.7468,0.7468,298.68,673.57,0
200.0,15.00,90.0,7.0,404.091,21.187,425.279,1.1718,0.8430,0.8430,298.68,596.65,0
200.0,15.00,90.0,8.0,404.091,23.922,428.014,1.1718,0.9322,0.9322,298.68,539.57,0
200.0,15.00,90.0,9.0,404.091,26.584,430.676,1.1718,1.0147,1.0147,298.68,495.72,0
200.0,15.00,90.0,10.0,404.091,29.173,433.265,1.1718,1.0907,1.0907,298.68,461.15,0
200.0,15.00,90.0,11.0,404.091,31.690,435.781,1.1718,1.1607,1.1607,298.68,433.34,0
200.0,15.00,90.0,12.0,404.091,34.133,438.224,1.1718,1.2250,1.1718,298.68,410.61,0
200.0,15.00,100.0,5.0,404.091,17.322,421.413,1.1718,0.8026,0.8026,298.68,626.69,0
200.0,15.00,100.0,6.0,404.091,20.567,424.659,1.1718,0.9353,0.9353,298.68,537.81,0
200.0,15.00,100.0,7.0,404.091,23.740,427.831,1.1718,1.0595,1.0595,298.68,474.76,0
200.0,15.00,100.0,8.0,404.091,26.840,430.931,1.1718,1.1756,1.1718,298.68,427.87,0
200.0,15.00,100.0,9.0,404.091,29.866,433.958,1.1718,1.2840,1.1718,298.68,391.75,0
200.0,15.00,100.0,10.0,404.091,32.820,436.912,1.1718,1.3850,1.1718,298.68,363.18,0
200.0,15.00,100.0,11.0,404.091,35.701,439.792,1.1718,1.4790,1.1718,298.68,340.10,0
200.0,15.00,100.0,12.0,404.091,38.509,442.600,1.1718,1.5662,1.1718,298.68,321.16,0
200.0,15.00,110.0,5.0,404.091,19.145,423.236,1.1718,0.9789,0.9789,298.68,513.86,0
200.0,15.00,110.0,6.0,404.091,22.755,426.847,1.1718,1.1438,1.1438,298.68,439.75,0
200.0,15.00,110.0,7.0,404.091,26.293,430.384,1.1718,1.2994,1.1718,298.68,387.11,0
200.0,15.00,110.0,8.0,404.091,29.757,433.848,1.1718,1.4459,1.1718,298.68,347.89,0
200.0,15.00,110.0,9.0,404.091,33.148,437.240,1.1718,1.5836,1.1718,298.68,317.62,0
200.0,15.00,110.0,10.0,404.091,36.467,440.558,1.1718,1.7130,1.1718,298.68,293.63,0
200.0,15.00,110.0,11.0,404.091,39.712,443.804,1.1718,1.8344,1.1718,298.68,274.21,0
200.0,15.00,110.0,12.0,404.091,42.885,446.976,1.1718,1.9480,1.1718,298.68,258.21,0
